CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
AFG,Afghanistan,POLIO,IPV2_FRAC,2018.0,331.47058823529414,75.6,-255.87058823529415,-77.19254658385094
AFR,African Region,POLIO,IPV1,2015.0,1901.0,304.55555555555554,-1596.4444444444443,-83.97919223800339
AFR,African Region,POLIO,IPV2,2021.0,1647.219512195122,580.0,-1067.219512195122,-64.78914949064203
AGO,Angola,POLIO,IPV1,2014.0,57.93939393939394,17.625,-40.31439393939394,-69.58028242677824
AGO,Angola,POLIO,IPV1_FRAC,2018.0,51.67567567567568,35.25,-16.425675675675677,-31.786087866108787
AGO,Angola,POLIO,IPV2,2021.0,51.325,0.0,-51.325,-100.0
AGO,Angola,POLIO,IPV2_FRAC,2018.0,51.67567567567568,35.25,-16.425675675675677,-31.786087866108787
AIA,Anguilla,POLIO,IPV1,2017.0,0.0,0.0,0.0,
AIA,Anguilla,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
AIA,Anguilla,POLIO,IPV2,2020.0,0.0,0.0,0.0,
AIA,Anguilla,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
ALB,Albania,POLIO,IPV1,2014.0,4.205882352941177,3.75,-0.4558823529411766,-10.839160839160842
ALB,Albania,POLIO,IPV1_FRAC,2018.0,4.552631578947368,0.0,-4.552631578947368,-100.0
ALB,Albania,POLIO,IPV2,2021.0,4.219512195121951,0.0,-4.219512195121951,-100.0
ALB,Albania,POLIO,IPV2_FRAC,2018.0,4.552631578947368,0.0,-4.552631578947368,-100.0
AMR,Region of the Americas,POLIO,IPV1,2015.0,279.1714285714286,0.5555555555555556,-278.61587301587304,-99.80099841935888
AMR,Region of the Americas,POLIO,IPV2,2021.0,238.41463414634146,0.3333333333333333,-238.0813008130081,-99.86018755328217
AND,Andorra,POLIO,IPV1,2014.0,0.0,2.4444444444444446,2.4444444444444446,
AND,Andorra,POLIO,IPV1_FRAC,2018.0,1.1578947368421053,0.0,-1.1578947368421053,-100.0
AND,Andorra,POLIO,IPV2_FRAC,2018.0,1.1578947368421053,0.0,-1.1578947368421053,-100.0
ARE,United Arab Emirates,POLIO,IPV1,2014.0,6.090909090909091,0.0,-6.090909090909091,-100.0
ARE,United Arab Emirates,POLIO,IPV1_FRAC,2018.0,5.4324324324324325,0.0,-5.4324324324324325,-100.0
ARE,United Arab Emirates,POLIO,IPV2,2021.0,5.025,0.0,-5.025,-100.0
ARE,United Arab Emirates,POLIO,IPV2_FRAC,2018.0,5.4324324324324325,0.0,-5.4324324324324325,-100.0
ARG,Argentina,POLIO,IPV1,2014.0,2.2058823529411766,0.0,-2.2058823529411766,-100.0
ARG,Argentina,POLIO,IPV1_FRAC,2018.0,1.9736842105263157,0.0,-1.9736842105263157,-100.0
ARG,Argentina,POLIO,IPV2,2020.0,1.875,0.0,-1.875,-100.0
ARG,Argentina,POLIO,IPV2_FRAC,2018.0,1.9736842105263157,0.0,-1.9736842105263157,-100.0
ARM,Armenia,POLIO,IPV1,2014.0,0.5217391304347826,0.0,-0.5217391304347826,-100.0
ARM,Armenia,POLIO,IPV1_FRAC,2018.0,0.4444444444444444,0.0,-0.4444444444444444,-100.0
ARM,Armenia,POLIO,IPV2,2021.0,0.4,0.0,-0.4,-100.0
ARM,Armenia,POLIO,IPV2_FRAC,2018.0,0.4444444444444444,0.0,-0.4444444444444444,-100.0
ATG,Antigua and Barbuda,POLIO,IPV1,2014.0,0.0,0.0,0.0,
ATG,Antigua and Barbuda,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
ATG,Antigua and Barbuda,POLIO,IPV2,2020.0,0.0,0.0,0.0,
ATG,Antigua and Barbuda,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
AUS,Australia,POLIO,IPV1,2015.0,0.02857142857142857,0.0,-0.02857142857142857,-100.0
AUS,Australia,POLIO,IPV1_FRAC,2018.0,0.02631578947368421,0.0,-0.02631578947368421,-100.0
AUS,Australia,POLIO,IPV2_FRAC,2018.0,0.02631578947368421,0.0,-0.02631578947368421,-100.0
AUT,Austria,POLIO,IPV1,2014.0,0.029411764705882353,0.0,-0.029411764705882353,-100.0
AUT,Austria,POLIO,IPV1_FRAC,2018.0,0.02631578947368421,0.0,-0.02631578947368421,-100.0
AUT,Austria,POLIO,IPV2_FRAC,2018.0,0.02631578947368421,0.0,-0.02631578947368421,-100.0
AZE,Azerbaijan,POLIO,IPV1,2014.0,5.782608695652174,0.0,-5.782608695652174,-100.0
AZE,Azerbaijan,POLIO,IPV1_FRAC,2018.0,4.925925925925926,0.0,-4.925925925925926,-100.0
AZE,Azerbaijan,POLIO,IPV2,2021.0,4.433333333333334,0.0,-4.433333333333334,-100.0
